category,description,title,institute,site,credits,id
,"This course provides an overview of the main aspects of biochemistry by relating molecular interactions to their effects on the organism as a whole, especially as related to human biology. The organization of macromolecules is addressed through a discussion of their hierarchical structure, and a study of their assembly into complexes responsible for specific biological processes. Topics addressing protein function include enzyme kinetics, the characterization of major metabolic pathways, and their interconnection into tightly regulated networks. The recorded lectures are from the fall course.","
      BIOS E-10 Introduction to Biochemistry    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24316
,"This course provides an overview of the main aspects of biochemistry by relating molecular interactions to their effects on the organism as a whole, especially as related to human biology. The organization of macromolecules is addressed through a discussion of their hierarchical structure, and a study of their assembly into complexes responsible for specific biological processes. Topics addressing protein function include enzyme kinetics, the characterization of major metabolic pathways, and their interconnection into tightly regulated networks.","
      BIOS E-10 Introduction to Biochemistry    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  14563
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24744
,This introductory series focuses on the principles of cellular (,"
      BIOS E-1B Introduction to Organismic and Evolutionary Biology    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  22957
,This introductory series focuses on the principles of cellular (BIOS E-1a) and organismal (,"
      BIOS E-1A Introduction to Molecular and Cellular Biology    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  13096
,"Astrobiology, the subject of this course, is a new discipline born out of the convergence of all scientific inquiry currently under way on the question of the origin and development of life here on Earth and potentially elsewhere in the Universe. Recent advances in planetary exploration, astronomy, geochemistry and biochemistry are leading to a revolution in our ideas on the emergence of life on our own planet and the likelihood of finding life outside the Earth. In particular, much is being learned about Mars and Venus because of the many recent and ongoing space missions. Spectacular data from Jupiter's and Saturn's moons, like Titan, Europa, and Enceladus, show that these moons may become possible targets of future searches for life in our solar system. Geochemists are finding more and more intriguing clues about the Earth's past by analyzing rocks dating from the very first period after the Earth's formation, thus providing a fundamentally new context for research on the transition between chemistry and primordial life. And astronomers have been recently successful in searching for planets around other stars. Searches for extra-solar planets are currently under way and are leading to the discovery of Earth-like planets around solar-type stars.","
      ASTR E-80 Planets, Moons, and the Search for Alien Life    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  15072
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  23715
,"Continuing explorations by robot spacecraft and landers reveal strikingly diverse landscapes and atmospheres throughout the solar system. What are they like? What processes account for their (and our) origin, and for their appearance and behavior as we see them today? These questions are the focus of this introductory astronomy course for students without backgrounds in mathematics or physics.","
      ASTR E-50 Moons and Planets    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  15035
,"This course covers evolution of the universe, from its origin in a cosmic expansion to the emergence of life on Earth and possibly other planets. We study big-bang cosmology, including origin and evolution of galaxies, stars, planets, life, and intelligence. We discuss nature writ large, from quarks to quasars, microbes to minds. Course materials are largely descriptive, based on insights from physics, astronomy, geology, chemistry, biology, and anthropology.","
      ASTR E-8 Cosmic Evolution: The Origins of Matter and Life    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  21171
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24608
,This course is the continuation of ,"
      ARAB E-2 Intensive Elementary Modern Standard Arabic II    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  23418
,"The course introduces students to Arabic sounds and the writing system, basic vocabulary, and grammatical structures up to a mid-beginner's level. The course also focuses on developing oral-aural skills, rudimentary reading, and basic composition. Students are also exposed to cultural topics and discussions, with the goal of appreciating the cultural context in which the language is used.","
      ARAB E-1 Intensive Elementary Modern Standard Arabic I    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  13547
,"The Internet makes possible the emergence of new kinds of social worlds. YouTube sensations appear in unlikely places, and viral videos bring otherwise obscured social problems to light. Communities are created through virtual interactions, despite geographic dispersion, and trends can take hold globally in an instant. Yet, the rise of mass media creates questions and problems as well as possibilities: What happens to privacy in an era where so much is publicized and posted? What are the social consequences of recording so much of life, and how does the ubiquity of social media transform interpersonal interaction? What new forms of control and censorship might these technologies engender? In this course, we examine the forms of sociality, belonging, and exclusion produced through various forms of mass and social media. We consider topics ranging from international advertising to online dating, from the Arab Spring to Gamergate, from children's programming to reality television.","
      ANTH E-1710 Anthropology of Media    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24721
,"In 1903, W.E.B. DuBois wrote prophetically that ""the problem of the twentieth century is the problem of the color-line."" More recently, anthropologists and historians have argued that the very idea of race—the notion that human beings can be exhaustively divided into enduring groups such as whites, blacks, or Indians—was first invented in the New World, in the Americas. But what are races? Does it mean the same thing to be white in Boston as it does in Bogotá? If blackness in Alabama is rooted in assumptions about essential biological nature, does the same go for Rio de Janeiro? Is race simply an illusion, a convenient mask for political domination and economic exploitation? Can we hope to abolish the concept of race altogether, or is its grip too tenacious, its appeal to the psyche too great? This course considers episodes in the development of racial categories in Latin and North America. Our aim is to arrive at an overall sense of the nature of race in social life by comparing the logic of racial practices at different times and places in the hemisphere.","
      ANTH E-1700 Race in the Americas    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24416
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24741
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  22356
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  23434
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  23882
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24078
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  15228
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  15222
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  15199
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  14356
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  13498
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  13258
,"As nanotechnology advances and nanomaterials become more widely used in research as well as appearing in consumer goods, there is significant interest in understanding their safety. Topics in the course include the toxicity of specific nanomaterials, experiments using nanomaterials, risk assessment of use, and additional factors regarding control of materials. The ethical as well as legal considerations of this emerging technology are covered. We study the decisions surrounding researching and introducing materials that have not been completely characterized from a safety standpoint, and examine what goes into an evaluation of nanomaterials use and the steps needed to provide appropriate controls for experiments and use.","
      ENSC E-180 Safety and Ethics of Nanotechnology Development    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  15091
,"This course describes the emerging role of nanostructures in drug development activities. It covers the most current nanotechniques applied by the pharmaceutical industry to engineer shuttling mechanisms for delivering previously failed drug molecules. Throughout the course, students  learn the basic principles of drug likeness, the rule of five for drug design, and the effect of these principles on excluding a wide range of chemical structures. The course focuses on methods of nanostructures' surface functionalization, immobilization, engineering of stealth nanovehicles for cellular delivery, as well as the use of quantum dots for nuclear and cytoplasmic visualization. Examples of FDA approved nanodrugs in addition to nanoformulations at the pre-clinical and clinical stages are discussed.","
      ENSC E-165 Engineering of Nanostructures for Targeted Drug Delivery    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  23245
,"Advancements in the study of microfluidic components and systems have created a new class of tools and devices. These devices are convenient platforms to study chemical and biochemical analysis and, as a consequence, applications in biology have been on the rise. In this course we introduce the science and technology of miniaturization and its applications in creating microfluidic devices. We discuss methods, tools, and measuring devices to create microfluidic systems. Different types of lithography methods are presented with hands-on experiences for creating simple devices. We discuss fluid flow and fluid characteristics in microchannels as well as the components for controlling fluid flow. We also discuss applications to cellular analysis including nucleic acids analysis, DNA hybridization and sequencing, and protein analysis. Local students have the opportunity to fabricate several simple devices.","
      ENSC E-155 Fundamentals and Applications of Microfluidics    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  22768
,"Nanobiotechnology is a new frontier for biology with important applications in medicine. It bridges areas in physics, chemistry, and biology and is a testament to the new areas of interdisciplinary science that are becoming dominant in the twenty-first century. This course provides perspective for students and researchers who are interested in nanoscale physical and biological systems and their applications in medicine. It introduces concepts in nanomaterials and their use with biocomponents to synthesize and address larger systems. Applications include systems for visualization, labeling, drug delivery, and cancer research. Technological impact of nanoscale systems, synthesis, and characterizations of nanoscale materials are discussed.","
      ENSC E-150 Introduction to Nanobiotechnology: Concepts and Applications    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  12806
,"Tissue engineering is now recognized as a way to lessen the global disease burden: novel methods for pancreatic islet regeneration can address diabetes; autologous cells for heart muscle regeneration can address coronary artery disease; and nerve regeneration technologies can be used to treat stroke. This course describes strategies of tissue engineering, and focuses on the diseases tissue engineering can address. Each lecture identifies a specific disease (coronary artery disease, stroke, diabetes) and describes tissue-engineered scaffolds that can alleviate the disease. Students learn the underlying pathology of the disease, understand the latest advances in tissue engineering for treating the disease, and discuss prospective research areas for novel biomaterials to modify the disease process. In addition, students gain an appreciation of clinical trials of tissue-engineered scaffolds, as well as commercialization of tissue engineering.","
      ENSC E-132 Tissue Engineering for Clinical Applications    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  14028
,"This course introduces students to the multidisciplinary and exciting field of MicroElectroMechanical Systems (MEMS). It teaches the underlying physical principles, methods of fabrication (hard and soft lithography techniques, 3D printing, thin-film deposition, and materials printing) and applications of a broad range of mechanical and optical devices and systems as well as biomedical systems (BioMEMS). The course emphasizes teamwork and active learning. Students work together on creating innovative devices and also use fabrication facilities to build simple MEMS structures and image them.","
      ENSC E-130 Introduction to MEMS with BioMEMS    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  14876
,This course is designed for students seeking preparation for ,"
      EXPO E-15 Fundamentals of Academic Writing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  15120
,"This course is a review of the elements of grammar. We examine sentence structure, correct verb forms, case of pronouns, agreement, punctuation, and restrictive and nonrestrictive (that/which) clauses. Along the way, we learn something of the power and the pleasure of controlling grammar to make our words work for us exactly as we want them to. Short readings illustrate the basic elements—and the beauties—of grammar and style. Short writing assignments offer students opportunities to practice the lessons of the course.","
      EXPO E-5 Fundamentals of Grammar    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  21627
,"In this course, we explore the development of our modern food production and distribution system and its effects on our environment and planet. We critically review published studies and other assessments that evaluate the environmental and social impact of food-related products and processes. We cover such topics as agricultural and food policy, industrialization and factory farming, the interrelationship between climate change and food production, water quality and scarcity, the role of technology in food production, and other relevant topics. We apply life cycle assessment concepts and appropriate sustainability criteria and benchmarking to current questions surrounding our global food system, and incorporate observations from the developed and developing world. The course emphasizes the methodologies and skills needed to critically assess the sustainability of various food products and practices.","
      ENVR E-129 From Farm to Fork: Food, Sustainability, and the Global Environment    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24782
,"This course examines the ethical dilemmas faced by human cultures throughout history in their use of land and natural resources. Topics include the environmental ethics of game and wildlife management, natural resource use, water management, biological diversity, fisheries, ocean protection, and agricultural production. Emphasis is given to different perceptions of the environment in different cultures and historical periods in human history. Special attention is given to the implicit assumptions that different cultures bring to their understanding of the land and how it should be managed. The tensions between urban, suburban, agricultural, ranching, and mining communities over the management of federal land, water projects, national wildlife areas, national forests, and national parks receive emphasis. Problems of global environmental ethics in the face of regional food shortages, water scarcity and the growth of international environmental refugees receive particular attention.","
      ENVR E-120 Environmental Ethics and Land Management    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  11926
,"The Envision tool for sustainable infrastructure can be used for infrastructure projects of all types, sizes, complexities, and locations to assist the project team achieve higher levels of sustainability. It was originally developed by the Zofnass Program at the Harvard Graduate School of Design, and it is currently offered by the Institute for Sustainable Infrastructure (ISI). A set of sixty sustainability criteria arranged in the categories of quality of life, leadership, resource allocation, natural world, and climate and risk are the core of Envision. While these criteria can be used to guide the decision making process, a third-party project verification and award program is available to recognize projects that have achieved higher levels of sustainability. Envision is a valuable resource for all the stakeholders involved in the development of infrastructure, including engineers, owners, policy makers, community groups, and construction workers. Professionals trained in the use of Envision can be credentialed by ISI as Envision sustainability professionals. The course delves into the methodology and criteria of Envision, using them as a foundation for exploring the technical and organizational dimensions of sustainable infrastructure design. It covers how the tool offers a guide through the various phases of a project, from the first planning steps developing the project brief and purpose, to avoiding traps and vulnerabilities in the long term. The interdependencies between design decisions, technical considerations, and the impacts on the adjacent communities and natural environment are discussed. Experts from the industry and academia are invited to cover key points of the Envision methodology such as the principles of life cycle analysis and methods for meaningful engagement with members of the public and other stakeholder groups. Case studies of the first projects successfully rated and awarded through Envision are analyzed to offer examples of best practices and strong leadership, and a better understanding of the benefits and challenges of the rating process.","
      ENVR E-119E Sustainable Infrastructure: The Envision Rating System Approach    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24777
,"Zero energy buildings, also known as net zero energy buildings are buildings (or a community of buildings) which produce with on-site renewables the same amount of energy as they consume, on an annual basis. Typically, a zero energy building consists of a highly-efficient building with rooftop, or site mounted, photovoltaic system. Zero energy is very scalable from single family homes to large commercial buildings to districts or communities of buildings. Once the realm of the most ambitious building owners willing to take significant financial risks, experience, technology, and financing mechanisms have begun to evolve to the point where a zero energy building can cost less to own and operate than a traditional code building. Indeed, Massachusetts is now beginning to see the emergence of spec-built zero energy homes, targeted at the affordable, low-income housing market. Other emerging trends include Executive Order 13514, which requires all new federal buildings to be designed to be zero energy by 2030, as well as various state and municipal initiatives. In the next few decades, it's possible that a large portion of new construction could be zero energy, either by code or by economics. This course provides a comprehensive exploration of zero energy buildings including building energy dynamics and renewable system fundamentals; energy economics, energy budgets, and site and source energy; relevant policy, codes, financing, and incentive structures; state of practice in zero energy design and construction, for both residential scale and commercial/institutional scale; case studies to demonstrate feasibility, key concepts, and lessons learned; the benefits and challenges zero energy imposes on the energy grid; the value zero energy can have in advancing security and resilience.","
      ENVR E-119D Zero Energy in the Built Space    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24776
,"In recent years, high performance green buildings have gone from fringe to main stream. Organizations and municipalities around the world have started requiring elements of green building on new construction and major renovations, green materials and equipment are abundant in the marketplace, energy disclosure ordinances are being adopted, and green building rating systems and standards are becoming part of the popular vernacular. Commitments made at COP 21 in Paris ensure this trend will continue over the next decade or more. We still have a long way to go and there is lots of room for improvement in the way we design, build, and operate our buildings, but there is definite movement in the right direction. While there is increasing support for green building, energy efficiency and greenhouse gas emissions receive the bulk of the attention. There are many reasons for this: energy savings are relatively straightforward to quantify and verify and are easily translated into financial savings and returns on investment while global climate change is disproportionately affected by the built environment. Energy efficiency and reduced greenhouse gas emissions are extremely important, but green building is an umbrella term that incorporates best practice and aspirational building design, construction, and operations strategies that are good for both the planet and people. This course exclusively looks at the impact of the built environment on people and demonstrates how green buildings can improve occupants' health, comfort, and productivity. It attempts to answer two questions: What makes a building healthy, comfortable, and productive for its occupants? How can we influence design, construction, and operations to ensure healthy, comfortable, and productive buildings? Students learn about occupants' interaction with light, color, sound, temperature and humidity, toxins and contaminants, plants and nature, and food and water. We review the most recent research in these areas and identify where additional research is needed. We also go through relevant green building standards, codes, and rating systems and discuss their applicability, strengths, and weaknesses. Students are introduced to design principles and tools for the design of healthy, comfortable, and productive facilities. Case studies demonstrate strategies to improve the occupant experience in office buildings, hospitals, schools, and residential buildings. Students leave the class with an understanding of these complex issues and are able to comfortably discuss setting goals and evaluating performance related to the occupant experience.","
      ENVR E-119C High Performance Buildings for Occupant Wellbeing    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24349
,"This is an advanced sustainable design course with technical content that focuses on energy use reduction in existing buildings. Students learn to perform American Society of Heating, Refrigerating, and Air Conditioning Engineers (ASHRAE) Level II Energy Audits. Topics covered include the ASHRAE Level II energy audit process, identifying and calculating energy conservation measures, understanding and optimizing building automation systems, advanced life cycle cost analysis and greenhouse gas calculations, use of energy codes and standards, and financial incentive calculations.","
      ENVR E-119B Sustainable Buildings: Optimizing the Performance of Existing Buildings    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  14847
,"Changing the paradigm of urban development to become more sustainable requires a common baseline understanding of sustainability principles, metrics, and decision-making tools. This course introduces students to a sequence of courses that cover sustainable neighborhoods, building health, and infrastructure projects. It demonstrates how intentional design, planning, and leadership within the built environment sector can contribute to urban resiliency by creating efficiencies, incorporating ecological services, and enhancing human health. Synergies between the principles of site design, building performance, and resource use connect healthy built environments to healthy communities at the level of scale, with resiliency a point of emphasis throughout the course. To do this, we present innovative strategies for sustainable urban infrastructure planning, applying existing research on environmental linkages to guidelines and prototypes for practice. Students learn green building principles, and pay attention to inputs/outputs of four main environmental resources—energy, water, material and solid waste, and landand become familiar with international standards for sustainable design, operations, and management of buildings, strategies for landscape design, healthy building material use, neighborhood design, and project criteria developed to address the environmental and human health concerns that accompany urbanization. Frameworks include the US Green Building Councils LEED ratings systems for buildings and communities, the International Living Future Institutes Declare program, Biophilic Cities Network criteria, New York City's Active Design Guidelines, and the Zofnass Envision program. ","
      ENVR E-119 Integrated Sustainable Design and Planning: From Building to Community    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  14866
,"This course offers case studies on achieving higher sustainability performance from ecotourism businesses and policy leaders in Asia, Africa, and Latin America. Students learn about conservation and social and policy implications of ecotourism development in locales such as Peru, Costa Rica, Southern Africa, and India regions. They develop an ecotourism business plan with sustainability goals built into the cost and management structure. They learn how ecotourism practices fit into the larger tourism industry, and what role ecotourism plays in tourism sustainability. They review case studies of poor practices and failed investments and their effects on local people. Students develop realistic business approaches including business projections based on local costs and scenarios. They take part in business case discussions and learn triple bottom line accounting and reporting for small business. They also have the opportunity to talk with globally recognized ecotourism business owners.","
      ENVR E-118A Ecotourism and Sustainable Development    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  15151
,"This course lays out the significance of the international tourism industry, which represents approximately nine percent of the global economy, from economic and environmental management viewpoints. It provides students with an understanding of how the tourism business operates, primarily focusing on mainstream tourism, its supply chains, and how each sector of the business approaches environmental management. The course looks at the growth of tourism as an industry, how digital sales and marketing are transforming the sector, and its part in the rapid globalization of world economies. It discusses the industry's particular impacts on emerging economies, its role in employment generation and economic development, and the current status of global dialog on green tourism growth. Speakers from business and government reflect on the management of both public health and sustainability for tourism. Ecotourism and its role in the development of sustainable tourism is reviewed and discussed. Students learn how the industry is presently managing air, water, waste water, solid waste, sprawl, and ecosystem impacts, and how new systems for environmental management can be deployed. Each week a different sector of the industry is covered, including hotels, tour operations, airlines, airports, and cruise lines. Several sessions are offered on how governments manage the environmental impacts of tourism in locales such as the Caribbean, Asia, Latin America, and Africa. Students learn how governments presently manage tourism, discuss how governance is changing, and review prospects for further reform and consider innovative new systems for management of growth.","
      ENVR E-118 Environmental Management of International Tourism Development    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  13556
,"This course aims to inspire and enable students to lead effective change toward environmental sustainability in a variety of organizational contexts (education, business, government, nonprofit, church, community). The course explores what change leadership for sustainability is and guides students to advance their related capabilities, competencies, and strategies. The personal, interpersonal, organizational, and infrastructural dimensions of change leadership for sustainability are each addressed. A variety of specific case studies and examples of sustainability in practice, including everything from green building design and renewable energy to environmental purchasing, are explored. Interdependencies between finance, politics, relationships, cognitive processes, capacity building, technology, and more are discussed. Students leave the course with a deeper experiential knowledge of change management because they are required to complete a project involving a real life actual change leadership project of their choice. In a world lacking adequate political, judicial, and media leadership we can and must take leadership where we work and live, transforming our organizations en masse, fueling change at all levels of society. This course is designed to empower and prepare anyone who is willing to join in the collective effort to steer our society back on course towards a just and sustainabile future.","
      ENVR E-117 Sustainability Leadership for the Twenty-First Century    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  13543
,"On December 12, 2015, the United Nations climate talks in Paris reached an historic milestone when more than 190 countries adopted the first accord that calls on all countries to join the fight against global warming. Achieving these aspirational targets will require countries to establish policy and investment that decarbonizes the economy. Organizations should start to develop and implement a 2 degrees Celsius strategy by clearly understanding their exposure to climate-related risks and identifying best practices for adapting to new carbon regulation, along with transforming their businesses by deploying sustainable energy practices. Understanding greenhouse gas (GHG) emissions, including how to calculate them and the importance of reporting them publicly, is vital to understanding how to identify sources of emission and how to reduce them. This course teaches students how to measure, report, and reduce GHG emissions with an eye toward understanding the roles that energy choices and usage play in reducing emissions.","
      ENVR E-116 Energy and Carbon in the New Economy    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  23508
,"This course provides students with a window to the underwater world while we investigate the world's oceans, their habitats, and the diversity of marine life found therein. Topics include the ecology of bays and salt marshes, coral reefs, coastal seas, and the deep sea. Additional presentations include marine fisheries, mollusks, aquaculture, oceanographic research at sea, marine biofouling, marine pollution, and management of ocean resources. Students have the opportunity to participate in local and regional conferences and meetings about the oceans and investigate marine habitats and aquaria.","
      ENVR E-110 Sustainable Ocean Environments    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  21784
,"It is widely recognized by the scientific community that current trends in our collective human behavior are not sustainable. Populations are growing at rates that cannot be maintained as food supplies per capita decline and the ecological costs of providing energy and materials for many people exceed the regenerative capacities the ecosystems upon which they depend. In addition, the waste products of our increasingly urbanized and consumer-oriented civilization have now reached the point of compromising the restorative functions of the biogeochemical cycling systems required for human survival. In response to these demonstrable trends numerous outstanding thinkers and environmental leaders have begun to envisage and implement strategies for a sustainable future. This course exposes students to innovative thinkers and inspired activists over a wide range of fields engaged in the transition to sustainability.","
      ENVR E-106 Envisioning a Sustainable Future: Managing and Protecting the Environment    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24808
,"Sustainability is presented from the perspective of any organization operating in a community setting. Sustainability includes a concurrent focus on environmental stewardship, social wellbeing, and shared value with external stakeholders. The structure of organizational sustainability is derived from a widely used international risk management framework. Monitoring, measurement, and program maturity topics are used to link the theoretical and practical aspects of sustainability to an organization's actual level of continuous improvement and innovation. Action learning enables students to work with a variety of local organizational cases to develop new skills.","
      ENVR E-105 Fundamentals of Organizational Sustainability    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  21808
,"This course examines future climate change in the context of earth history, and then considers various strategies for what might be done to deal with it. We discuss measuring ancient temperature and carbon dioxide levels and investigate the basic physics and chemistry that control climate through the lens of climate variations in the geologic past. The likely impacts of continued greenhouse gas emissions are explored, emphasizing the scientific basis for climate change predictions. We explore impacts of climate change on human societies and on natural ecosystems. A major focus of the course addresses the question of how to mitigate climate change, including an examination of various options for advanced energy systems. Each student designs a low-carbon energy system for the US, considering the four basic energy sectors (transportation, industry, residential and commercial, and electricity). During the second half of the course, a large portion of class time focuses on the low-carbon energy system exercise.","
      ENVR E-104 The Climate-Energy Challenge    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24559
